Gene ID	Log2Ratio	p-value	Max RPKM
NM_001024675	-2.05	1.34E-02	2386.79
NM_004301	-0.47	4.21E-01	13688.69
NM_178042	-0.17	7.14E-01	26868.66
NM_177989	0.17	2.64E-01	75.34
NM_016188	-2.09	1.00E-01	4.27
NM_006687	-3.32	1.41E-01	9.96
NM_006686	-4.27	4.01E-02	19.27
NM_030812	0.05	9.77E-01	700.85
NM_178525	0.56	6.95E-01	9.33
NM_001130004	1.15	5.06E-01	2573.14
NM_001102	2.25	7.98E-06	334142.16
NM_001130005	3.37	2.72E-01	52255.74
NM_001103	-4.25	2.84E-01	188.50
NM_001104	4.83	3.36E-01	229.75
NM_004924	1.25	3.90E-04	383962.00
NM_018477	-0.17	7.11E-01	6140.61
NM_005736	0.10	7.82E-01	54911.64
NM_005735	-0.84	2.96E-02	36484.99
NM_001005386	0.11	7.45E-01	1637.63
NM_005722	0.42	1.73E-01	315030.91
NM_005721	0.98	2.55E-02	128603.04
NM_020445	-0.76	1.31E-01	2681.58
NM_001040135	1.67	2.36E-03	1561.54
NR_027714	-0.67	7.38E-01	6.36
NM_024855	0.60	7.38E-02	9397.08
NM_022496	-0.24	7.63E-01	1720.86
NM_022899	1.08	9.62E-03	18964.44
NM_032487	0.60	6.83E-01	1068.93
NM_001105	-0.43	2.48E-01	759.48
NM_001111067	1.83	7.69E-03	25449.19
NM_020327	-2.46	1.77E-04	2703.44
NM_004302	-2.24	6.29E-05	58094.39
NM_020328	-1.50	3.77E-04	1078.67
NM_001111033	-0.92	1.40E-01	88.06
NM_001111032	-0.47	3.63E-01	144.17
NM_145259	-0.01	9.90E-01	190.04
NM_001111031	0.51	3.95E-01	207.59
NM_001616	-0.59	1.89E-01	5067.44
NM_001106	-1.46	1.91E-01	15549.62
NM_000020	-0.34	6.74E-01	28.20
NM_001077401	0.65	6.56E-01	43.82
NM_000666	-0.48	5.10E-01	8643.20
NM_080658	-1.40	3.26E-01	65.29
NM_203488	0.08	8.99E-01	349.84
NM_001107	0.78	2.70E-01	2683.90
NM_138448	-0.25	6.10E-01	2353.90
NM_000022	1.42	8.44E-02	2282.31
NM_001159295	0.47	3.47E-01	0.72
NM_139243	0.48	3.47E-01	0.72
NM_001159285	0.50	3.47E-01	0.71
NM_001145400	-5.57	1.78E-01	47.55
NM_139174	-5.22	1.42E-01	37.30
NM_001012969	-0.48	5.49E-01	733.23
NM_001159280	-0.41	5.60E-01	4033.00
NM_001110	0.09	6.33E-01	44771.29
NM_002390	-0.62	2.15E-01	909.64
NM_021641	6.05	5.17E-02	4007.25
NM_003474	11.82	3.56E-02	78689.30
NM_207195	-4.75	4.83E-02	27725.02
NM_207196	-3.39	1.53E-02	8060.60
NM_207197	-3.18	6.05E-02	10738.87
NM_207191	-2.57	1.12E-02	9385.17
NM_003815	-1.79	1.80E-01	15417.36
NM_207194	0.12	8.92E-01	1536.46
NM_003183	0.47	3.06E-01	5196.65
NM_014237	-0.72	3.47E-01	1.64
NM_033274	3.84	2.14E-01	12549.95
NM_001464	-5.37	2.63E-01	41.25
NM_003814	-1.99	8.54E-02	109.57
NM_003813	1.22	2.61E-01	281.58
NR_003951	0.35	6.95E-01	62.71
NM_016351	-1.19	2.83E-01	531.41
NM_004194	-0.09	9.45E-01	286.68
NM_021722	-0.01	9.86E-01	135.64
NM_021721	0.01	9.96E-01	318.10
NM_021723	0.71	5.76E-01	246.12
NM_003812	6.12	2.08E-01	1624.09
NM_014265	1.56	4.27E-01	52.07
NM_021777	1.60	4.35E-01	34.45
NM_001130703	-2.39	2.85E-01	5.23
NM_001130704	-1.86	2.51E-01	3.62
NM_001130705	-1.84	2.52E-01	3.58
NM_014269	-1.62	2.35E-01	3.08
NM_021794	-2.19	1.41E-01	4.56
NM_145004	-1.61	1.87E-01	169.36
NM_153202	3.06	3.47E-01	8.34
NM_025220	7.38	3.47E-01	167.14
NM_001109	2.15	4.50E-01	5343.04
NR_027878	0.21	7.19E-01	2659.90
NM_003816	1.63	7.73E-02	164623.32
NR_027639	1.68	6.68E-02	16820.32
NR_027638	2.19	6.35E-02	39864.36
NM_006988	1.24	4.49E-01	77409.16
NM_030957	0.68	6.61E-01	464.93
NM_030955	7.07	7.50E-02	22690.23
NM_139027	-4.13	5.38E-02	983.30
NM_139025	-1.63	3.89E-01	1174.39
NM_139026	-1.08	3.23E-01	659.02
NR_024514	-0.73	4.78E-01	96.25
NM_080722	4.96	9.03E-02	1897.04
NM_139155	7.02	2.73E-01	8684.07
NM_139055	-0.30	7.96E-01	6518.87
NM_139056	8.87	4.86E-02	1807.32
NM_139057	-3.67	7.43E-02	3581.18
NM_199355	-5.28	3.48E-01	1248.43
NM_133638	-8.29	2.39E-01	810.95
NM_021599	6.20	2.55E-01	5628.71
