Gene ID	Log2Ratio	p-value	Max RPKM
NM_153265	-0.12	7.94E-01	4122.98
NM_019063	0.24	5.55E-01	30402.10
NM_001145076	1.43	6.67E-02	1833.50
NM_183387	-2.03	1.36E-01	3258.88
NM_001039753	2.11	2.22E-01	2618.75
NM_001423	5.99	6.10E-03	201202.70
NM_001424	-3.94	6.05E-05	314187.82
NM_001425	6.89	7.01E-05	46410.60
NM_001974	2.23	1.40E-01	60.17
NM_152920	-1.56	1.25E-01	107.54
NM_152916	-0.99	3.37E-01	108.53
NM_152917	0.50	7.18E-01	181.99
NM_152921	0.54	6.87E-01	176.96
NM_152918	0.93	4.65E-01	17.41
NM_152919	1.17	2.80E-01	322.66
NM_013447	1.56	2.29E-01	401.75
NR_024075	-0.96	3.46E-02	686.44
NM_004097	-7.84	2.89E-01	1079.93
NM_004098	7.88	3.01E-01	3070.23
NR_002791	0.25	8.26E-01	95.15
NM_001426	6.34	3.70E-02	10763.01
NM_001427	-0.06	9.58E-01	1543.54
NM_001008493	-5.33	1.20E-02	114140.75
NM_018212	1.80	1.17E-02	187713.46
NM_031889	1.97	3.54E-01	67.37
NM_003633	1.29	6.89E-02	71075.59
NM_015036	-1.64	3.31E-01	95655.91
NM_004435	-0.54	1.99E-01	6470.96
NM_006025	-3.15	7.83E-02	18.00
NM_173627	-2.65	1.65E-02	10537.86
NM_000118	1.87	8.49E-02	9702.55
NM_001114753	2.65	1.17E-02	22458.96
NM_001042573	-0.53	5.34E-01	15702.17
NM_198573	0.76	5.42E-01	469.12
NM_032140	-1.03	5.05E-02	5657.22
NM_145010	1.85	2.33E-01	614.20
NM_001428	1.47	2.14E-01	16470.93
NM_001975	1.13	1.59E-01	12433.59
NM_001976	-1.55	4.86E-02	689.32
NM_053013	-0.80	6.07E-02	239.89
NM_021204	0.08	7.70E-01	30055.26
NM_202758	-2.46	4.21E-01	691.92
NM_017512	-1.06	4.63E-01	741.77
NM_001126123	-0.29	8.38E-01	1324.92
NM_001127615	2.24	1.13E-02	1181.65
NM_017993	3.34	2.86E-02	1905.15
NM_182314	0.12	8.74E-01	3851.81
NM_006375	0.21	7.08E-01	6116.58
NM_001977	-5.35	2.71E-01	830.81
NM_006208	-0.90	1.76E-01	27970.85
NM_001130863	2.09	1.22E-01	92.79
NM_006209	5.93	3.26E-01	1823.13
NM_001040092	8.28	3.24E-01	6752.28
NM_005021	-4.86	1.41E-01	165.32
NM_014936	0.01	9.94E-01	16478.82
NM_021572	-6.22	5.59E-02	13287.53
NM_153343	0.14	7.29E-01	89.77
NM_178543	-1.06	6.51E-01	6.06
NM_207046	-1.66	2.15E-02	15378.15
NM_004436	-1.65	2.72E-02	53898.83
NM_207047	-1.53	7.67E-02	4584.45
NM_207044	-1.26	2.97E-02	42210.47
NM_207043	-1.21	1.38E-01	10347.98
NM_207042	-0.66	3.83E-01	4560.19
NM_207168	0.21	6.49E-01	2054.09
NM_207045	1.53	1.10E-01	4143.73
NM_152512	0.92	5.75E-01	4.26
NM_144679	-0.23	6.30E-01	625.89
NM_001164178	-3.80	3.27E-01	2878.92
NM_001164183	-3.54	3.80E-01	3499.20
NM_001164181	-1.99	3.93E-01	3464.49
NM_001776	-1.57	4.51E-01	2010.42
NM_001164182	-1.32	5.51E-01	1576.44
NM_001164179	-0.10	9.41E-01	3561.54
NM_001098175	1.63	3.35E-01	1212.90
NM_203468	-4.18	1.06E-02	11172.91
NM_001246	-3.50	2.07E-02	1003.61
NM_001248	-2.76	2.19E-01	500.90
NM_004901	1.49	3.33E-02	12292.74
NM_001128930	1.94	7.97E-02	6866.71
NM_001249	-0.91	1.22E-01	2941.17
NM_001114089	-0.99	1.82E-01	5252.32
NM_001247	0.50	4.55E-01	3457.70
NM_020354	0.89	3.66E-01	17072.61
NM_001033113	-10.85	4.83E-02	1840.77
NM_198585	-10.47	1.03E-01	1415.86
NM_020189	1.00	2.77E-02	10342.63
NM_173654	1.34	2.10E-01	2613.03
NM_005442	2.66	1.98E-01	375.37
NM_001429	-0.41	4.94E-03	71876.15
NM_015409	0.14	8.26E-01	14570.44
NM_001430	1.50	8.63E-02	84193.24
NM_203342	-0.98	5.56E-01	1186.77
NM_004437	0.24	7.75E-01	958.72
NM_203343	0.60	2.44E-01	2559.54
NM_177996	-1.80	1.02E-01	7382.20
NM_012156	0.12	8.12E-01	2031.39
NM_001431	3.16	9.03E-04	23881.82
NM_001135555	3.19	6.64E-02	3532.96
NM_001135554	3.68	1.53E-01	3682.24
NM_012307	7.36	3.07E-01	597.92
NM_022140	-6.11	5.76E-03	7212.16
NR_015370	-0.56	3.90E-01	7347.19
NR_027706	-9.11	6.95E-03	551.90
NM_018424	-0.96	2.23E-01	31085.75
NM_019114	-0.23	8.28E-01	193.54
NM_020909	-1.18	2.44E-01	3044.53
NM_000119	1.20	3.47E-01	0.44
NM_001114134	1.25	3.47E-01	0.42
NM_025209	0.03	9.46E-01	1035.12
NM_015630	-0.01	9.75E-01	12546.25
NM_002354	-6.52	2.42E-04	92292.21
NM_017549	-0.77	5.22E-01	18975.97
NM_020964	1.10	1.70E-02	54620.21
NM_001013442	5.54	8.71E-03	12.78
NM_005232	-7.70	2.08E-05	10618.55
NM_001099439	-9.60	4.89E-02	10862.19
NM_173641	-2.99	3.59E-02	166.50
NM_004431	5.47	2.08E-03	147578.11
NM_182644	1.89	3.32E-01	350.26
NM_005233	5.45	1.72E-01	9304.69
NM_004438	-1.10	5.26E-01	17486.34
NM_004439	2.89	2.45E-02	956.05
NM_182472	5.47	1.13E-01	8170.13
NM_001080448	-2.35	4.49E-01	405.29
NM_173655	2.35	2.78E-01	161.10
NM_004440	1.26	4.97E-01	1103.74
NM_001006943	-8.66	3.01E-01	1169.67
NM_020526	-7.98	2.39E-01	2295.44
NM_004441	-0.47	6.60E-01	62.15
NM_017449	2.48	1.59E-01	4682.12
NM_004442	2.87	1.99E-01	5476.21
NM_004443	-4.44	1.46E-02	29876.86
NM_004444	-0.47	4.39E-01	68771.28
NM_004445	-2.12	1.85E-01	2205.88
NM_000120	-1.90	7.06E-02	1076.57
NM_001136018	-1.43	6.30E-02	63170.19
NM_001979	-1.99	4.13E-01	1976.28
NM_001142886	0.47	5.80E-01	39.82
NM_024794	1.12	9.88E-02	40.78
NM_173567	0.56	7.33E-01	1305.97
NM_005670	0.37	4.49E-01	2232.44
NM_001018041	1.16	1.51E-01	258.79
NM_014805	-0.76	1.73E-01	52479.70
NM_001130071	-1.19	6.08E-02	13808.00
NM_013333	0.35	4.60E-01	373.37
NM_001130072	0.87	6.45E-02	55728.54
NM_148921	-0.66	2.02E-01	12220.34
NM_014964	-0.59	5.02E-01	2950.37
NM_001102664	-0.25	7.24E-01	3718.14
NM_017957	-7.83	2.63E-03	79389.03
NM_000799	-0.36	7.47E-01	25.31
NM_000121	1.30	2.77E-01	789.33
NM_181502	-0.76	2.29E-01	224.18
NM_020398	-0.48	1.72E-01	36.38
NM_031308	-6.99	1.23E-02	80797.16
NM_004446	0.37	3.06E-01	156429.49
NM_001981	-0.21	6.27E-01	31620.78
NM_001159969	0.28	6.33E-01	10228.96
NM_021235	-0.80	2.54E-02	6752.04
NM_004447	-0.07	9.16E-01	35166.30
NM_133180	-6.44	5.66E-03	17725.84
NM_017729	-1.55	7.28E-02	547.63
NM_022772	-3.43	9.92E-02	3768.59
NM_133181	-1.66	5.32E-01	3.17
NM_139053	-1.43	5.72E-01	2.68
NM_024526	-1.38	3.47E-01	2.60
NM_001002264	0.15	7.95E-01	66.08
NM_033255	2.58	3.23E-01	1211.02
NM_033505	-0.46	4.78E-01	90300.17
NM_000502	-3.31	5.76E-05	137.65
NM_001161585	-0.06	9.79E-01	0.87
NM_020641	-0.01	9.97E-01	0.96
NM_005702	-0.04	9.36E-01	19929.52
NM_016442	1.77	2.16E-01	3115.07
NM_001040458	2.62	3.17E-01	30461.12
NM_022350	1.06	2.88E-01	1056.53
NM_001130140	2.43	1.77E-01	6153.29
NM_181532	-4.75	3.32E-01	689.33
NM_004448	-4.44	1.39E-01	154688.97
NM_001005862	0.12	9.05E-01	845.31
NM_018695	1.52	8.96E-02	29614.21
NM_001006600	3.56	2.43E-03	43987.84
NM_001982	-6.73	2.66E-05	130725.08
NM_001005915	-5.10	8.37E-05	7652.17
NM_005235	-8.99	1.46E-01	9512.51
NM_001042599	-8.42	1.27E-01	6633.17
NR_027946	-0.35	7.19E-01	2899.61
NR_027949	-0.15	7.56E-01	773.08
NM_178039	-0.13	7.42E-01	1321.45
NM_178040	-0.12	7.71E-01	17412.98
NR_027948	-0.05	9.16E-01	34796.83
NM_015576	0.91	6.19E-01	130.61
NR_024615	-0.65	4.81E-01	28.42
NM_001983	-0.67	9.12E-02	2037.19
NM_202001	1.06	7.63E-03	9362.71
NM_001130867	1.38	3.44E-02	2979.02
NM_000400	1.47	8.75E-02	8944.01
NM_000122	-0.01	9.76E-01	19224.05
NM_005236	-0.76	6.80E-02	20227.07
NM_000123	-0.06	8.43E-01	21814.27
NM_000124	-0.66	3.80E-01	11316.34
NM_017669	1.45	5.42E-02	17839.08
NM_001010895	-0.18	5.70E-01	2551.20
NM_000082	0.57	4.50E-01	3026.51
NM_001432	7.53	5.48E-02	48589.77
NM_006494	0.70	1.17E-01	37970.02
NM_182918	1.30	4.31E-01	54.87
NM_001136155	2.50	2.34E-01	84.62
NM_004449	2.51	3.41E-01	208.42
NM_001136154	4.27	2.83E-01	579.48
NM_001031711	-1.02	1.14E-01	273438.74
NM_016570	-0.84	8.67E-02	22414.00
NM_198398	-0.72	3.30E-01	921.40
NM_015966	-0.14	6.37E-01	56848.91
NM_004450	0.34	4.74E-01	61347.41
NM_153332	2.26	7.98E-02	54228.04
NM_080663	-2.39	1.41E-02	249.85
NM_001142725	2.35	4.92E-02	4940.61
NM_024066	0.68	3.41E-02	15508.08
NM_207332	1.71	1.05E-01	9188.61
NM_001127397	-2.31	1.23E-04	2917.31
NM_015701	-0.36	3.93E-01	24460.49
NM_001127398	-0.32	5.31E-01	4161.59
NM_001100626	0.40	1.94E-01	11025.91
NM_006459	1.37	1.92E-02	24830.54
NM_007175	-1.58	4.96E-02	93967.30
NM_001003790	-1.34	5.05E-02	1388.34
NM_001003791	0.23	8.32E-01	2328.40
NM_018538	-0.91	1.01E-01	1047.87
NM_001017922	-0.16	8.32E-01	4143.77
NM_018341	-0.10	8.53E-01	4952.54
NM_001009959	0.81	6.65E-01	2.74
NM_020711	1.29	5.41E-01	3.81
NM_024896	-2.25	3.58E-02	115783.84
NM_001433	-1.84	3.32E-02	15921.64
NM_033266	-0.69	2.61E-01	757.61
NM_014584	-0.28	7.88E-02	482.84
NM_019891	-2.16	1.82E-01	15887.08
NM_152321	-6.87	1.13E-01	2237.48
NM_001034025	-1.38	1.83E-01	5737.93
NM_006817	-0.33	4.95E-01	88681.49
NM_015051	0.40	1.79E-01	29140.29
NM_018948	1.92	7.84E-03	98356.46
NM_207582	-2.99	1.98E-01	56.59
NM_138961	0.05	9.76E-01	906.24
NM_052911	-0.03	9.17E-01	19291.12
NM_001017420	1.92	6.08E-02	20967.34
NM_001984	1.21	9.40E-02	30790.26
NM_016649	1.25	7.74E-02	20917.74
NM_007036	6.38	2.20E-01	116.25
NM_001135604	6.65	2.61E-01	86.91
NM_012291	0.16	8.59E-01	4584.09
NM_031475	-8.61	1.26E-02	17811.89
NM_194312	1.39	2.52E-01	52.90
NR_026567	-8.87	1.75E-02	466.87
NM_001122742	-12.09	3.86E-02	31117.20
NM_000125	-10.80	5.65E-02	37414.59
NM_001122740	-10.36	7.91E-02	11693.64
NM_001122741	-10.22	1.34E-02	40170.47
NM_001040275	-3.06	3.92E-01	109.54
NM_001040276	-2.41	3.86E-01	208.46
NM_001437	-0.05	9.74E-01	27.93
NR_027122	2.66	3.27E-02	12665.12
NM_017697	-9.31	6.83E-04	54568.84
NM_001122826	-9.26	3.39E-03	12752.77
NM_001122825	-8.49	4.90E-04	36634.85
NM_001034915	-6.18	1.63E-01	6165.83
NM_001122827	-5.11	3.65E-03	3336.25
NM_024939	-3.96	1.22E-03	13772.02
NM_004451	-0.41	3.19E-01	20492.16
NM_004452	1.00	6.02E-01	28.01
NM_206594	-7.01	2.02E-01	828.44
NM_001134285	-5.80	2.70E-01	180.84
NM_206595	-4.96	9.76E-02	191.49
NM_001438	-4.07	5.71E-02	127.28
NR_024099	-3.66	9.68E-02	72.36
NM_153448	2.88	4.17E-01	24.23
NM_015292	0.36	1.93E-01	112590.56
NM_020728	1.84	5.74E-03	42353.14
NM_031913	-2.26	1.16E-01	927.53
NM_019002	0.16	5.56E-01	9145.35
NM_004730	0.00	9.83E-01	2862.20
NM_000126	-0.75	9.22E-02	63226.30
NM_001127716	-0.05	9.36E-01	263.83
NM_001985	-0.82	8.02E-02	21478.18
NM_001014763	-0.71	7.63E-02	4668.78
NM_004453	-0.39	5.19E-01	9032.42
NM_014297	0.09	8.59E-01	5871.90
NM_018638	-0.36	3.36E-01	65165.42
NM_001039481	-0.17	6.32E-01	1121.24
NM_018208	-1.98	1.42E-01	1834.36
NM_031279	-4.98	6.76E-02	31.57
NM_001146590	-4.91	1.20E-01	30.15
NM_001146627	-4.30	3.48E-02	19.67
NR_027474	-4.16	9.94E-02	17.84
NR_027475	-4.08	4.17E-02	16.88
NM_001143820	2.92	8.31E-03	642.67
NM_001162422	5.92	1.24E-01	2298.67
NM_005238	9.52	6.66E-04	127609.99
NM_005239	2.30	1.61E-02	58999.29
NM_001163149	3.75	1.25E-01	891.97
NM_001163148	4.17	4.66E-02	1068.87
NM_004956	4.75	2.99E-02	4840.94
NM_001163147	4.77	6.98E-02	4050.65
NM_001163152	5.10	2.29E-01	679.10
NM_001163151	5.88	1.28E-01	2921.19
NM_001163150	6.40	8.65E-02	3527.91
NM_014209	-0.73	1.81E-02	93.36
NM_005240	-0.73	7.29E-02	391.95
NM_001145312	-0.41	1.28E-01	10018.93
NM_001004341	-0.49	3.67E-01	227.57
NM_001986	3.60	8.89E-02	2633.94
NM_001079675	4.31	2.48E-02	2864.41
NM_004454	5.97	6.26E-04	23876.91
NM_001987	-0.38	7.90E-01	7720.41
NM_016135	-3.32	9.70E-02	54.52
NM_032181	2.56	8.19E-02	402.66
NM_001135032	5.87	3.28E-04	9073.11
NM_018166	0.08	9.55E-01	536.87
NM_058187	1.45	2.40E-01	908.26
NM_153717	1.67	7.16E-02	4791.94
NM_147127	11.77	1.17E-01	2660.42
NM_001003927	4.66	3.20E-01	1192.25
NM_014210	7.64	2.73E-01	13812.74
NM_006495	7.32	3.29E-01	8426.92
NM_005665	0.96	7.40E-02	14618.98
NM_001159944	0.12	5.96E-01	399.27
NM_145245	0.51	8.76E-03	12307.48
NM_016337	-0.09	8.56E-01	1144.94
NM_001988	-3.70	8.40E-05	60302.23
NM_001145127	-6.02	5.60E-02	1506.78
NM_001989	0.67	3.47E-01	1.60
NM_001080458	-1.48	4.32E-01	15.05
NM_001163287	-1.70	1.87E-01	9626.05
NM_001163286	-0.56	4.32E-01	2811.29
NM_013986	-0.14	6.19E-01	908.78
NM_001163285	0.42	3.97E-01	63074.16
NM_005243	0.83	7.50E-02	7509.52
NM_152596	-1.35	1.45E-01	61.90
NM_018199	-2.16	3.29E-01	3217.22
NM_017820	-3.14	1.99E-03	3008.00
NM_130398	0.16	8.51E-01	6959.40
NM_006027	0.26	7.14E-01	3927.41
NM_003686	0.63	4.55E-01	5393.92
NM_022774	-0.03	9.72E-01	731.86
NM_018261	-0.88	2.46E-03	542.72
NM_178237	0.22	4.16E-01	10168.64
NM_001024924	0.41	4.66E-01	12502.14
NM_018303	-0.98	3.98E-02	1394.10
NM_007277	-0.21	5.71E-01	36574.20
NM_178516	-6.01	5.51E-02	180.91
NM_138568	-1.34	5.46E-03	226.37
NM_001077594	-5.14	6.76E-02	428.42
NM_021807	-0.72	1.04E-01	44261.36
NM_001037126	-0.03	9.60E-01	3756.26
NM_006544	0.06	8.23E-01	52893.24
NM_019053	-0.80	1.69E-01	8379.59
NM_001013848	-0.13	7.29E-01	245.04
NM_015189	-0.40	2.54E-01	6417.00
NM_001145298	-3.26	1.38E-03	16441.39
NM_001145297	-2.78	3.87E-03	26755.87
NM_001145296	-1.14	2.40E-02	24325.23
NM_015219	-0.22	7.44E-01	37238.42
NM_001013839	-0.05	9.53E-01	460.15
NM_001145299	1.22	2.37E-01	1786.81
NM_175876	-0.91	6.87E-02	36134.98
NM_005107	2.05	5.08E-02	1402.60
NM_001145464	4.04	1.13E-01	1140.11
NM_016046	-0.06	8.78E-01	4223.84
NM_002685	0.20	7.01E-01	3198.39
NM_001001998	0.50	2.23E-01	24403.87
NM_014285	0.89	1.42E-01	19144.26
NM_001002269	1.43	1.09E-01	1802.98
NM_016042	1.56	6.47E-02	12925.48
NM_019037	0.63	3.07E-01	13524.31
NM_020158	0.64	2.37E-01	9396.04
NM_058219	-0.49	2.40E-01	31310.94
NR_023353	0.53	6.49E-01	252.09
NM_015004	0.95	7.08E-04	7533.93
NM_181503	1.44	3.52E-02	4057.25
NM_001034194	0.77	2.66E-01	1280.68
NM_005033	1.03	9.53E-02	10859.87
NM_001144765	-2.57	1.84E-01	1339.66
NM_015065	-1.60	7.69E-02	13849.77
NM_001144763	-1.22	1.85E-01	1022.26
NM_000127	2.90	4.62E-02	160395.06
NM_207122	0.40	4.38E-01	70999.21
NM_000401	1.17	2.92E-01	3983.59
NM_004455	-3.76	1.72E-01	996.53
NM_001033025	1.10	3.01E-02	2734.82
NM_001439	2.22	1.89E-02	19231.99
NM_001440	1.91	1.76E-03	76160.74
NM_172060	3.86	1.28E-01	89.58
NM_172058	4.53	1.32E-01	134.26
NM_172059	4.95	1.38E-01	152.86
NM_000503	5.41	1.60E-01	306.43
NM_172110	-5.05	3.31E-01	275.02
NM_005244	-3.12	3.17E-01	571.15
NM_172112	-2.36	3.06E-01	685.64
NM_172113	-1.26	3.19E-01	116.63
NM_172111	-1.06	3.94E-01	289.24
NM_001990	1.29	1.25E-01	989.16
NM_004100	4.57	1.16E-01	1135.60
NM_172103	5.47	7.65E-02	2287.60
NM_172105	5.68	2.01E-01	2613.38
NM_198283	-4.80	3.47E-01	27.81
NM_001142801	-2.82	1.42E-01	7.08
NM_001142800	0.23	4.55E-01	34.30
NM_001991	-0.77	3.45E-01	8571.15
NM_004456	0.36	5.41E-01	1959.63
NM_152998	1.01	1.86E-01	7639.51
NM_003379	0.07	8.78E-01	131828.56
NM_001111077	0.56	2.48E-01	8179.07
NM_000504	-0.28	7.72E-01	33.97
NM_016946	-5.97	4.90E-02	25300.58
NM_000505	-0.75	2.86E-01	1354.26
NM_000129	6.34	3.47E-01	80.78
NM_001994	0.01	9.98E-01	2.09
NM_000506	1.87	3.70E-01	17.65
NM_001992	2.82	2.76E-02	61948.40
NM_005242	2.73	1.58E-01	48229.60
NM_004101	6.13	1.08E-01	1954.72
NM_003950	1.30	1.70E-01	464.28
NM_001993	5.17	1.73E-01	21731.28
NM_000130	-1.72	2.62E-02	1321.45
NM_019616	-8.56	1.23E-02	1405.87
NM_000131	-7.11	1.54E-02	561.72
NM_000132	-1.02	3.90E-01	850.40
NM_019863	-0.01	9.95E-01	3976.42
NM_001007524	-0.34	5.93E-01	9898.44
NM_001007524	-0.07	8.91E-01	15039.93
NM_001007524	-0.07	8.96E-01	15151.44
NM_000133	-0.22	3.47E-01	1.17
NM_024306	-7.74	5.55E-02	22434.78
NM_001441	-4.29	4.98E-03	9076.67
NM_174912	-6.16	3.12E-04	3721.07
NM_001443	-3.63	3.47E-01	0.08
NM_000134	-0.80	4.85E-01	12.78
NM_004102	1.49	3.25E-01	579.64
NM_001442	8.18	2.36E-01	290.80
NM_001444	2.99	8.43E-03	23011.51
NR_002935	2.73	1.90E-02	144.30
NM_001445	-3.78	2.98E-01	142.00
NM_001130958	-1.80	2.79E-01	111.26
NM_001040442	-1.18	3.51E-01	121.63
NM_001446	-2.86	3.12E-01	7.25
NM_003824	-0.81	8.23E-02	33814.73
NM_013402	2.68	1.69E-03	58082.31
NM_004265	2.21	2.08E-01	143230.79
NM_021727	1.92	1.62E-01	10160.72
NM_178128	-2.77	1.49E-01	171.63
NM_007051	0.86	3.33E-04	34600.53
NM_014613	0.48	3.17E-01	97592.35
NM_000137	-1.95	5.90E-02	9235.69
NM_031208	0.19	9.12E-01	7469.77
NM_001018104	0.47	8.20E-01	202.95
NM_001142398	0.89	6.72E-01	112.71
NM_016044	-0.16	6.87E-01	2724.02
NM_199336	-0.56	2.27E-01	5568.11
NR_003698	0.14	8.36E-01	201.41
NM_018147	-0.19	8.39E-01	395.65
NM_001033031	0.06	8.40E-01	108.40
NM_001033032	0.21	7.64E-01	3463.24
NM_001033030	1.78	4.15E-02	476.63
NM_012306	-9.53	3.37E-01	5462.83
NM_001142473	-2.04	4.69E-01	955.59
NM_005449	-1.04	5.93E-01	196.46
NM_001142472	-0.53	6.78E-01	47.15
NM_181709	-0.56	7.53E-01	680.91
NM_182705	5.00	1.58E-01	62122.75
NM_203305	-2.57	3.49E-03	41349.92
NM_001035254	-2.45	2.06E-03	103728.96
NM_001010883	-1.30	2.31E-01	71795.47
NM_031452	-0.66	1.07E-01	14634.53
NM_032837	-0.77	1.40E-01	30795.62
NM_001098832	-0.55	4.69E-01	2457.28
NM_138362	-0.60	2.12E-01	2226.34
NM_019018	2.24	1.85E-01	3229.21
NM_138348	0.54	1.76E-01	37392.80
NR_026809	-0.31	6.95E-01	807.84
NR_026810	-0.74	3.84E-01	173.64
NM_007177	2.01	4.91E-02	137.93
NM_001076778	4.29	4.31E-02	573.17
NM_031453	-0.52	5.42E-01	215.64
NM_144671	-1.40	5.53E-02	6430.36
NM_001002034	0.10	9.33E-01	4593.93
NM_031424	-4.56	8.36E-03	14428.28
NM_207121	-1.22	4.32E-02	1009.84
NM_001042353	0.20	6.59E-01	4398.42
NM_147189	-0.30	8.26E-01	10217.46
NM_001077710	-7.22	3.19E-03	1539.69
NM_024869	0.39	6.30E-01	40.75
NM_001142520	-0.90	8.23E-02	15012.87
NM_022074	-0.61	2.50E-01	24351.78
NM_001142519	-0.58	6.32E-01	3564.50
NM_001142521	0.85	2.42E-01	1313.90
NM_198847	1.01	2.49E-01	5518.93
NM_198947	-0.04	9.60E-01	22000.52
NM_001142703	0.21	7.32E-01	1695.02
NM_001142704	0.32	7.17E-01	3325.78
NM_138389	0.82	3.41E-01	15766.31
NM_018691	0.11	8.55E-01	2048.23
NM_014719	-0.07	8.55E-01	6500.69
NM_001130026	-1.07	5.41E-01	17.31
NM_001130025	-0.03	9.84E-01	86.43
NM_173678	2.61	2.21E-01	50.46
NM_030802	-2.61	2.57E-02	6044.77
NM_173511	-0.71	2.20E-01	14042.47
NM_001104595	-0.50	1.84E-01	299.46
NM_017911	0.70	1.01E-02	7662.39
NM_024556	0.01	9.89E-01	2286.02
NM_014612	-0.08	7.92E-01	129725.98
NM_198841	-0.61	3.64E-02	5407.37
NM_032448	-0.38	2.07E-01	14018.81
NM_017848	-1.34	1.68E-01	14895.98
NM_138333	-0.37	2.10E-01	12001.08
NM_145284	0.37	7.01E-01	32679.13
NM_138819	0.33	3.87E-01	832.03
NM_145019	-0.15	7.73E-01	120.26
NM_024785	-1.00	4.85E-01	4.85
NM_001122779	-0.99	4.91E-01	4.56
NM_032581	1.85	2.00E-02	22775.25
NM_173822	-1.26	1.30E-02	27180.59
NM_001078171	1.22	1.04E-01	51325.47
NM_001078172	0.17	7.99E-01	29364.42
NM_001134321	0.68	5.05E-01	8026.64
NM_001078173	-0.75	1.98E-01	17988.00
NM_052966	0.46	5.82E-01	76214.75
NM_022833	0.92	9.35E-02	168213.46
NM_001035534	2.00	1.36E-01	25699.49
NM_173544	0.28	8.96E-01	3.57
NM_001098524	0.90	6.93E-01	108.89
NM_144635	-1.24	4.20E-02	3422.87
NM_014690	0.49	6.09E-01	614.45
NM_001031690	1.14	1.96E-01	946.07
NM_182623	1.07	3.08E-01	1094.86
NM_001014980	0.36	7.59E-01	171.34
NM_173698	1.23	4.02E-01	1370.76
NM_152789	-0.45	2.43E-01	3313.11
NM_001040057	0.50	5.23E-01	308.15
NR_027508	-0.43	2.19E-01	1332.44
NM_024293	-0.37	2.87E-01	43089.98
NM_019000	-3.82	1.25E-02	3929.43
NM_001034850	-1.77	3.45E-02	5572.21
NR_026697	-0.74	1.49E-01	59113.67
NM_178126	1.86	9.14E-02	7099.68
NM_001105531	0.52	5.40E-01	3565.81
NM_001162529	0.84	2.42E-01	1471.99
NM_020819	2.24	1.12E-01	1026.90
NM_015912	-1.72	4.46E-01	4.43
NM_032822	0.76	2.14E-01	41941.98
NR_026821	1.11	4.95E-01	24.91
NR_026822	-0.51	4.25E-01	60.21
NR_026822	-0.10	8.99E-01	84.91
NR_026822	-0.05	9.51E-01	54.96
NR_026823	-0.48	5.81E-01	13.59
NR_026819	0.34	7.71E-01	11.71
NM_001015045	-1.87	6.05E-02	1205.66
NM_014883	2.26	4.96E-02	2989.68
NR_002806	0.36	6.13E-01	371.24
NM_001101800	-0.59	3.07E-01	9883.59
NM_016603	-0.13	8.27E-01	8859.95
NM_001101801	0.45	4.09E-01	5218.15
NM_001001971	-4.29	3.53E-01	841.45
NM_198215	-1.03	6.28E-01	789.63
NM_001143773	1.37	4.47E-01	412.92
NM_015398	-0.99	5.26E-01	106.19
NM_001006655	-0.17	8.38E-01	84.61
NM_173348	-1.00	3.25E-02	4974.34
NM_207413	-1.38	3.47E-01	2.61
NM_001002919	2.81	3.12E-01	225.44
NM_176782	-1.86	4.24E-01	94.68
NM_205548	-0.89	1.27E-01	566.07
NM_173663	-2.61	2.07E-01	16.48
NM_001079529	-0.09	8.80E-01	75.99
NM_001079527	-3.82	1.06E-01	14.10
NM_153707	-2.42	1.17E-01	19.35
NM_001008226	-1.02	2.40E-01	67.40
NM_001080396	1.18	3.26E-01	7099.93
NM_015686	-3.39	2.16E-02	8393.87
NM_001099684	-0.91	4.41E-01	96.02
NM_014138	-0.14	8.23E-01	1616.65
NM_014138	0.32	6.95E-01	757.48
NM_001099684	1.08	3.49E-01	256.59
NM_001145249	-1.84	3.18E-02	518.66
NM_001145248	-0.88	4.74E-01	203.15
NM_001042693	3.46	1.46E-01	10.99
NM_001109977	-1.71	4.86E-02	11896.48
NM_001098794	-0.63	1.42E-01	6538.50
NM_032127	0.26	4.56E-01	5985.70
NM_020940	-0.20	5.64E-01	30736.51
NM_001135051	-0.06	5.93E-01	39.59
NM_022749	0.24	5.75E-01	27566.54
NM_032180	1.37	4.74E-02	3888.84
NM_152445	-0.73	3.03E-01	2129.03
NM_014367	1.51	7.01E-03	13611.06
NM_173509	-2.54	3.98E-03	13.90
NM_001001710	-2.32	6.05E-02	123.46
NM_001164310	-1.46	4.45E-02	27.56
NM_001099951	-1.00	8.68E-02	16.47
NM_053279	2.47	9.61E-02	12508.56
NM_032648	1.64	3.42E-01	670.59
NM_015159	0.10	8.35E-01	12434.29
NM_001009993	0.09	6.89E-01	143356.17
NM_015566	-0.10	8.78E-01	4839.78
NM_182562	-3.17	3.33E-02	156.05
NM_001163991	-2.23	8.15E-02	6.56
NM_182761	-2.22	7.51E-02	6.90
NM_001010924	7.67	1.01E-02	55097.81
NM_198475	-0.51	3.73E-01	4660.87
NM_177454	0.43	4.59E-01	5131.06
NM_032042	-0.31	4.73E-01	7081.36
NM_001163418	0.08	7.38E-01	1216.03
NR_028080	0.53	1.54E-01	1211.58
NM_001163417	0.60	5.01E-01	13168.76
NM_023933	-2.02	8.21E-03	3959.35
NM_199133	-0.07	8.93E-01	3198.43
NM_198507	-0.76	4.56E-02	7850.20
NM_207446	-5.41	1.70E-03	44682.26
NM_139076	0.88	1.83E-01	4866.66
